"Record.ID","e","word","accuracy"
"BUBA046","eng","house",0
"BUBA046","eng","whistle",0
"BUBA046","eng","scissors",0
"BUBA046","eng","comb",0
"BUBA046","eng","flower",0
"BUBA046","eng","saw",0
"BUBA046","eng","toothbrush",0
"BUBA046","eng","helicopter",0
"BUBA046","eng","broom",0
"BUBA046","eng","octopus",0
"BUBA046","eng","mushroom",0
"BUBA046","eng","hanger",0
"BUBA046","eng","wheelchair",0
"BUBA046","eng","camel",0
"BUBA046","eng","mask",0
"BUBA046","eng","pretzel",0
"BUBA046","eng","bench",0
"BUBA046","eng","raquet",0
"BUBA046","eng","snail",0
"BUBA046","eng","volcano",0
"BUBA046","eng","seahorse",0
"BUBA046","eng","dart",0
"BUBA046","eng","canoe",0
"BUBA046","eng","globe",0
"BUBA046","eng","wreath",0
"BUBA046","eng","beaver",0
"BUBA046","eng","harmonica",0
"BUBA046","eng","rhinoceros",0
"BUBA046","eng","acorn",0
"BUBA046","eng","igloo",0
"BUBA046","eng","stilts",0
"BUBA046","eng","dominos",0
"BUBA046","eng","cactus",0
"BUBA046","eng","escalator",0
"BUBA046","eng","harp",0
"BUBA046","eng","hammock",0
"BUBA046","eng","knocker",0
"BUBA046","eng","pelican",0
"BUBA046","eng","stethoscope",0
"BUBA046","eng","pyramid",0
"BUBA046","eng","muzzle",0
"BUBA046","eng","unicorn",0
"BUBA046","eng","funnel",0
"BUBA046","eng","accordion",0
"BUBA046","eng","noose",0
"BUBA046","eng","asparagus",0
"BUBA046","eng","compass",0
"BUBA046","eng","latch",0
"BUBA046","eng","tripod",0
"BUBA046","eng","scroll",0
"BUBA046","eng","tongs",0
"BUBA046","eng","sphinx",0
"BUBA046","eng","yoke",0
"BUBA046","eng","trellis",0
"BUBA046","eng","palette",0
"BUBA046","eng","protractor",0
"BUBA046","eng","abacus",0
"BUBA061","eng","bed",1
"BUBA061","eng","tree",1
"BUBA061","eng","pencil",1
"BUBA061","eng","house",1
"BUBA061","eng","whistle",1
"BUBA061","eng","scissors",1
"BUBA061","eng","comb",1
"BUBA061","eng","flower",1
"BUBA061","eng","saw",1
"BUBA061","eng","toothbrush",1
"BUBA061","eng","helicopter",1
"BUBA061","eng","broom",1
"BUBA061","eng","octopus",1
"BUBA061","eng","mushroom",1
"BUBA061","eng","hanger",1
"BUBA061","eng","wheelchair",1
"BUBA061","eng","camel",1
"BUBA061","eng","mask",1
"BUBA061","eng","pretzel",1
"BUBA061","eng","bench",1
"BUBA061","eng","raquet",1
"BUBA061","eng","snail",1
"BUBA061","eng","volcano",1
"BUBA061","eng","seahorse",1
"BUBA061","eng","dart",1
"BUBA061","eng","canoe",1
"BUBA061","eng","globe",1
"BUBA061","eng","wreath",1
"BUBA061","eng","beaver",1
"BUBA061","eng","harmonica",1
"BUBA061","eng","rhinoceros",1
"BUBA061","eng","acorn",0
"BUBA061","eng","igloo",1
"BUBA061","eng","stilts",1
"BUBA061","eng","dominos",1
"BUBA061","eng","cactus",1
